fallecidos;VS_S;VP_S
1792;0,136669074;-0,526428711
1719;0,068405632;-0,518601795
1269;-0,039318999;-0,51230144
1054;-0,076194292;-0,505476564
1079;-0,052774066;-0,495909237
1071;-0,012366817;-0,473287648
1207;-0,012682171;-0,43775186
1309;0,02690516;-0,428896112
1434;0,113101683;-0,340277541
1552;0,279818374;-0,309324256
1274;0,73678609;-0,285960067
1363;0,581569277;-0,284262895
1210;0,399042883;-0,2776373
1049;0,221267809;-0,271007005
1191;0,316231149;-0,262546998
1198;0,264134811;-0,258092334
1248;0,294324618;-0,251605859
1465;0,357206033;-0,236372206
1587;0,404761286;-0,210064875
1602;0,423451215;-0,163080817
1700;0,487236643;-0,077395518
1760;0,517405426;-0,021171722
1762;0,504770277;-0,00574208
1890;0,642558574;0,074025445
1925;0,789408017;0,143332641
1883;0,676280335;0,219712403
1959;0,623637385;0,236568027
1655;0,563972572;0,293403763
1698;0,435182352;0,285610216
1562;0,517279285;0,308003854
1549;0,452169374;0,32753754
1703;0,509269315;0,317111052
1757;0,554890402;0,365399831
1626;0,548751528;0,390329591
1652;0,517447473;0,534257808
1645;0,703358658;0,612596531
1782;0,77494382;0,705882207
1508;0,759028998;0,760420111
1595;0,788798334;0,871544651
1573;0,895766118;1,002770637
1523;0,873838563;1,152788179
1623;1,115293947;1,288698659
1630;1,223964637;1,432321375
1646;1,25413342;1,518080465
1675;1,50286295;1,616693595
1483;1,569465532;1,724680412
1507;1,452406448;1,869530299
1617;1,466534269;1,972701963
STD;20226,23662;1521174,181
PROM;47565,7234;2127657,851
